a_field_0,a_field_1,a_field_2,x_0,x_1,x_2
-37304084638.811,-38559494062.203,95892352926.805,-0.096897324865125,-0.08866130684225,-0.096763981977125
-9260376312.3892,-65447637422.049,121672547361.72,-0.09490523080635,-0.0912680029891,-0.092402951193625
-12055601615.805,-68561881188.014,124658466051.63,-0.098007905941225,-0.094504021011975,-0.087402951193625
-86359139715.577,8474205549.9079,116323022384.47,-0.091669683699425,-0.094370678123975,-0.0925299652713
-81701124304.015,4008127644.247,111475415705.6,-0.0886617777582,-0.096763981977125,-0.0968909960548
-94368581825.087,-47722979.796275,124658466051.48,-0.0947723588343,-0.09760669614685,-0.0875299652713
-21218443631.949,-27519092538.413,249820397193.61,-0.090355904096575,-0.09760669614685,-0.080044614691325
-22048674468.101,-169555506612.85,693047993938.38,-0.096902780438475,-0.091894735342925,-0.050232076901325
-243394789754.77,-66279146225.305,117811055061.43,-0.068280429197775,-0.0977352371974,-0.09373197420765
-243394789755.39,-12759787362.326,73523046028.962,-0.0682160031418,-0.0932571454139,-0.097263172226075
-165257596535.37,-19213546366.298,64054614136.138,-0.08035088857385,-0.095213392293725,-0.0896377364694
-133655282139.82,-26453357678.526,81989874446.873,-0.084677589640675,-0.09197737427085,-0.093168934487825
-175134494311.94,-50773228606.41,101945107230.47,-0.080419334489925,-0.08749928248735,-0.096277938433025
-224742034189.86,-23147310931.88,52879191577.565,-0.074231815024275,-0.088470537707625,-0.0935411106591
-237142443642.83,-72925065660.585,113509596811.52,-0.07429624108025,-0.092948629491125,-0.090009912640675
-169157823458.49,-71902667394.831,109332028794.51,-0.0818039909209,-0.080027149296675,-0.096277938433025
-25213335847.53,-139333759427.18,103332402360.13,-0.090921042688825,-0.086481395282825,-0.08868088962665
-53136527918.064,-66407243485.607,79564808690.507,-0.0929131367476,-0.083874699135975,-0.09304192041015
-171530369618.56,-21409312192.925,88858685179.32,-0.0876854955819,-0.0895840704177,-0.088807903704325
-63528790352.277,-84686236505.767,89640980613.373,-0.089297793178575,-0.079505241080175,-0.096277938433025
-52409386243.505,-67878653343.826,78702099494.377,-0.096015811882475,-0.079616914901175,-0.08856382862665
-62726775911.749,-85859133566.709,88715239989.696,-0.09240046831345,-0.075247456845375,-0.091799846649525
-47410291210.865,-108258555521.34,101189242700.34,-0.096384656430975,-0.07003406455165,-0.0955219082165
-52654429048.819,-96270539284.55,179076476902.42,-0.0940237178237,-0.082223611048025,-0.08420279784315
-24316388433.873,-172377160343.62,542271632426.27,-0.09380556087695,-0.08021545210975,-0.055275117904425
-18002570277.353,-76199540936.483,531718529046.55,-0.09380556087695,-0.0882167540286,-0.0553360472116
-66677339994.352,-37126754909.085,463935024274.42,-0.09248632570075,-0.09270667511665,-0.065146486539625
-78033514413.581,-208594587618.96,482876808306.01,-0.096902780438475,-0.080548736446275,-0.0601656011429
-104414008910.85,-83467659997.176,397658473397.96,-0.095583545262275,-0.096384656430975,-0.07004251622935
-17431912540.394,-85923495094.24,327644176483.51,-0.0940237178237,-0.081710942613875,-0.07996668267535
-66771650345.35,-37043990273.276,464053393882.03,-0.096902780438475,-0.088550038365125,-0.060226530450075
-39118413357.369,-4127640392.3534,281628548018.72,-0.0935914512035,-0.093991352577825,-0.07568148544585
-118481319587.4,-124250726843.39,277995369144.52,-0.098007905941225,-0.083394875185275,-0.08045272621945
-61746824714.727,9418396921.2618,261818297070.71,-0.098007905941225,-0.09088867744295,-0.07993081800295
-80906798489.195,-156165107292.29,74377980740.379,-0.092144134096375,-0.06585020269805,-0.09264726951965
-96869664333.585,-128466949631.37,61356488454.288,-0.08815994597885,-0.071063594991775,-0.088925207952675
-64287850356.758,-132396763548.79,56610610953.477,-0.08798749734485,-0.0609386982862,-0.09712536130315
-82022799267.23,-150194910033.13,77719246535.355,-0.0957594776654,-0.060590206066025,-0.088564827809475
-54913043586.36,-148597469624.62,76650176877.571,-0.095843363248475,-0.049862563507775,-0.095917558289825
