# x,y,z,J_x_err,J_y_err,J_z_err
-4.808507415139039176e-02,-9.955160525513057079e-02,1.202164551475110726e-02,3.776704987409681250e+13,1.943260426514201167e-01,6.404282154998905469e+13
-5.405181994160176973e-02,-9.941939011857506281e-02,1.553757321915828944e-02,nan,2.190276169725740907e+00,1.458598583753592285e+12
-5.364161279391042175e-02,-9.928212349631999889e-02,1.311844774600370855e-02,nan,2.135261349622414873e+00,nan
-5.417142774195051608e-02,-9.870151361489508390e-02,1.434822705828133448e-02,4.829174816077724245e+03,1.644974894755276029e+00,4.806261341378771590e+01
-5.057708930799786895e-02,-9.942364666753933378e-02,1.104212212206205461e-02,nan,1.928554463146385567e+00,6.748585088973825781e+13
-4.931156903223653937e-02,-9.897525192266989902e-02,1.149131022180598267e-02,4.181743115773580257e+02,1.228479169205705240e-01,3.695940567113347242e+03
-5.311784624469827187e-02,-9.838432607122664375e-02,1.231784855759830884e-02,1.814827580709171002e+02,5.165707464265270055e-01,1.472925662262361357e+03
-4.593158560741365803e-02,-9.943062865182121512e-02,1.439799217386784902e-02,nan,2.818227018777421211e+00,nan
-4.634311569103465034e-02,-9.931050380259806576e-02,1.681978991554001004e-02,nan,2.165839421353695116e+00,4.420275105397746875e+13
-4.581324742877033313e-02,-9.874113245441928921e-02,1.559034454178776646e-02,3.757654236560381833e+03,1.699787921206614483e+00,1.339529089377193429e+02
-4.774383148619749245e-02,-9.955160525513057079e-02,1.331741653809649650e-02,2.040491143449376172e+13,1.943260426499886784e-01,1.889819425946442188e+13
-4.659888380207956315e-02,-9.898223390695179424e-02,1.358269527890984540e-02,3.169439143530251499e+02,8.880421502557609426e-01,5.680638737541837600e+02
-5.182769109381075989e-02,-9.930650795190673619e-02,1.849318453237508431e-02,5.365811701077168945e+12,1.822273560450418772e+00,3.820603296969857031e+13
-4.940602094380942833e-02,-9.942842668787882365e-02,1.890534711618655633e-02,8.599484136034592773e+12,2.140151298045904760e+00,nan
-5.059942263017357111e-02,-9.873493463978558204e-02,1.902323995315599245e-02,1.396119254147101287e+02,1.367692230972599399e+00,3.321303548164791209e+03
-4.686688224024678634e-02,-9.841094117800597285e-02,1.762038910394541150e-02,1.610215536207004163e+02,6.533436759018073081e-01,1.449911879751107790e+03
-4.846955208005361559e-02,-9.852886406328673075e-02,1.870959669792052887e-02,1.680898756797612918e+02,6.533436759026959306e-01,1.847563664262072223e+02
