# x,y,z,B_x_err,B_y_err,B_z_err
-9.689732486512819820e-02,-8.866130684226022907e-02,-9.676398197713204086e-02,nan,1.696390919833287683e+02,nan
-9.490523080637089381e-02,-9.126800298912496334e-02,-9.240295119365163345e-02,6.446703210750155222e+01,1.481337493563435430e+02,1.114001333528915012e+02
-9.800790594124270116e-02,-9.450402101199290028e-02,-8.740295119365162901e-02,nan,1.109478458338398497e+02,9.997374030271856782e+01
-9.166968369945541206e-02,-9.437067812399677069e-02,-9.252996527134141336e-02,7.766800530529125979e+01,5.800244112593232870e+01,1.330161307994519007e+02
-8.866177775821271201e-02,-9.676398197713204086e-02,-9.689099605482182076e-02,8.910930209707423444e+01,nan,nan
-9.477235883432721941e-02,-9.760669614686472151e-02,-8.752996527134140892e-02,5.313647315915147118e+01,nan,1.026289896530808790e+02
-9.035590409660533562e-02,-9.760669614686472151e-02,-8.004461469136769924e-02,8.394983493200285807e+01,nan,1.003857330051682624e+02
-9.690278043849326339e-02,-9.189473534293879364e-02,-5.023207690135752385e-02,nan,1.243018006355403884e+02,1.002879615563790168e+02
-6.828042919781142361e-02,-9.773523719741762650e-02,-9.373197420767422072e-02,1.010453691543183226e+02,nan,2.597505288670609502e+02
-6.821600314183748348e-02,-9.325714541393639867e-02,-9.726317222609784374e-02,9.958353464712234882e+01,3.919740694040759621e+01,nan
-8.035088857388200667e-02,-9.521339229372946522e-02,-8.963773646943738738e-02,9.073172484054131814e+01,nan,1.218844228547270632e+02
-8.467758964069810323e-02,-9.197737427086151440e-02,-9.316893448786099652e-02,8.879632633610638948e+01,1.685013494922267796e+02,1.412028539173957995e+02
-8.041933448995175482e-02,-8.749928248738028658e-02,-9.627793843303918131e-02,8.402755593970262282e+01,4.520604645103142502e+03,nan
-7.423181502432288359e-02,-8.847053770766584446e-02,-9.354111065913700562e-02,8.505709234195857960e+01,1.402040335664735835e+02,2.424142539215475551e+02
-7.429624108029682372e-02,-9.294862949114708617e-02,-9.000991264071339648e-02,8.559930021210986695e+01,3.102391042960411482e+02,1.863232011187738237e+02
-8.180399092093501578e-02,-8.002714929672205546e-02,-9.627793843303916743e-02,7.687834232357270992e+01,4.678604094289835871e+02,nan
-9.092104268885629892e-02,-8.648139528285442301e-02,-8.868088962669079534e-02,7.160997793221677910e+01,1.070626786576645060e+02,1.181055546257588986e+02
-9.291313674761358943e-02,-8.387469913598970261e-02,-9.304192041017120274e-02,6.884584978852781489e+01,6.398649926154327972e+01,1.269416101938751922e+02
-8.768549558194080329e-02,-8.958407041772623036e-02,-8.880790370438057524e-02,8.471833792679436215e+01,5.802573439259582244e+01,1.334131486272786731e+02
-8.929779317859685983e-02,-7.950524108020329273e-02,-9.627793843303918131e-02,8.324658486153160197e+01,1.413516412802255218e+02,nan
-9.601581188248541066e-02,-7.961691490119580938e-02,-8.856382862668997491e-02,nan,3.901007839328833029e+02,1.181615454025210994e+02
-9.240046831346868106e-02,-7.524745684540939950e-02,-9.179984664955792573e-02,1.612096513773168027e+01,3.323086961829428674e+02,1.739556883317781057e+02
-9.638465643098328983e-02,-7.003406455167995870e-02,-9.552190821651876385e-02,nan,1.164967432702516135e+02,nan
-9.402371782372810627e-02,-8.222361104806052978e-02,-8.420279784320956751e-02,3.241561138885126070e+02,1.862424850088868311e+02,1.204377453980045942e+02
-9.380556087698652123e-02,-8.021545210980145224e-02,-5.527511790447883766e-02,7.377194781405582091e+01,9.098329543496338374e+03,1.008340238218362117e+02
-9.380556087698652123e-02,-8.821675402863643489e-02,-5.533604721164993995e-02,1.422630960783178189e+01,3.410102985256010925e+03,1.020942130114463424e+02
-9.248632570077136572e-02,-9.270667511668090333e-02,-6.514648653966050029e-02,2.947724641581474714e+01,2.403423742664322731e+02,9.709460560288036390e+01
-9.690278043849326339e-02,-8.054873644633445129e-02,-6.016560114295377293e-02,nan,8.338453110243584888e+03,1.075347675963452900e+02
-9.558354526227810788e-02,-9.638465643098328983e-02,-7.004251622936807919e-02,nan,nan,1.017464516324275934e+02
-9.402371782372812015e-02,-8.171094261391562141e-02,-7.996668267541930109e-02,4.074520346788155507e+02,1.590634940384162519e+02,1.199027575566430670e+02
