# x,y,z,B_x_err,B_y_err,B_z_err
-9.689732486512819820e-02,-8.866130684226022907e-02,-9.676398197713204086e-02,nan,1.663184951117266053e+02,nan
-9.490523080637089381e-02,-9.126800298912496334e-02,-9.240295119365163345e-02,6.571781013129583471e+01,1.377586861001618956e+02,1.110851071271600290e+02
-9.800790594124270116e-02,-9.450402101199290028e-02,-8.740295119365162901e-02,nan,1.066085060365172268e+02,1.003261812266650992e+02
-9.166968369945541206e-02,-9.437067812399677069e-02,-9.252996527134141336e-02,7.704510244286693421e+01,5.980192933854445414e+01,1.328608800499017661e+02
-8.866177775821271201e-02,-9.676398197713204086e-02,-9.689099605482182076e-02,8.914650979571783296e+01,nan,nan
-9.477235883432721941e-02,-9.760669614686472151e-02,-8.752996527134140892e-02,5.080456350242268115e+01,nan,1.024780292011171952e+02
-9.035590409660533562e-02,-9.760669614686472151e-02,-8.004461469136769924e-02,8.329869010142125774e+01,nan,1.002512175490072792e+02
-9.690278043849326339e-02,-9.189473534293879364e-02,-5.023207690135752385e-02,nan,1.255637081355470883e+02,1.003901581773770602e+02
-6.828042919781142361e-02,-9.773523719741762650e-02,-9.373197420767422072e-02,1.013984539754008694e+02,nan,2.689195983398558383e+02
-6.821600314183748348e-02,-9.325714541393639867e-02,-9.726317222609784374e-02,9.967958754570337021e+01,3.403680629277467062e+01,nan
-8.035088857388200667e-02,-9.521339229372946522e-02,-8.963773646943738738e-02,9.091696002843387703e+01,nan,1.212779166175832302e+02
-8.467758964069810323e-02,-9.197737427086151440e-02,-9.316893448786099652e-02,8.867153199107768557e+01,1.688864061454583521e+02,1.384221770093875250e+02
-8.041933448995175482e-02,-8.749928248738028658e-02,-9.627793843303918131e-02,8.366571116852274770e+01,4.493853152752151800e+03,nan
-7.423181502432288359e-02,-8.847053770766584446e-02,-9.354111065913700562e-02,8.533562420836121021e+01,1.370182717514647663e+02,2.436844516590014393e+02
-7.429624108029682372e-02,-9.294862949114708617e-02,-9.000991264071339648e-02,8.548338363007515284e+01,3.176895427387422615e+02,1.889444680909952865e+02
-8.180399092093501578e-02,-8.002714929672205546e-02,-9.627793843303916743e-02,7.672519144796235935e+01,4.709165767756701939e+02,nan
-9.092104268885629892e-02,-8.648139528285442301e-02,-8.868088962669079534e-02,7.362227228582123928e+01,9.965261166795252734e+01,1.176347607771368473e+02
-9.291313674761358943e-02,-8.387469913598970261e-02,-9.304192041017120274e-02,6.885573072343341039e+01,6.368182673916398784e+01,1.273294965582145437e+02
-8.768549558194080329e-02,-8.958407041772623036e-02,-8.880790370438057524e-02,8.444926895246398146e+01,3.612432924169719684e+01,1.318938628632869552e+02
-8.929779317859685983e-02,-7.950524108020329273e-02,-9.627793843303918131e-02,8.310428917575980279e+01,1.411283026738605884e+02,nan
-9.601581188248541066e-02,-7.961691490119580938e-02,-8.856382862668997491e-02,nan,3.968743117514479763e+02,1.184358871351811331e+02
-9.240046831346868106e-02,-7.524745684540939950e-02,-9.179984664955792573e-02,1.519709928032591506e+01,3.351144081345415202e+02,1.745224468711641634e+02
-9.638465643098328983e-02,-7.003406455167995870e-02,-9.552190821651876385e-02,nan,1.173191580745268396e+02,nan
-9.402371782372810627e-02,-8.222361104806052978e-02,-8.420279784320956751e-02,3.138283153369134766e+02,1.807274714509387650e+02,1.202830101015883031e+02
-9.380556087698652123e-02,-8.021545210980145224e-02,-5.527511790447883766e-02,7.368535547196840696e+01,9.219666231870309275e+03,1.008262062000099348e+02
-9.380556087698652123e-02,-8.821675402863643489e-02,-5.533604721164993995e-02,1.395441708155641081e+01,3.444105075632504850e+03,1.021321893937233938e+02
-9.248632570077136572e-02,-9.270667511668090333e-02,-6.514648653966050029e-02,2.960964447810621536e+01,2.878775890515519791e+02,9.677292756928150652e+01
-9.690278043849326339e-02,-8.054873644633445129e-02,-6.016560114295377293e-02,nan,7.901445776831738840e+03,1.074461920026478339e+02
-9.558354526227810788e-02,-9.638465643098328983e-02,-7.004251622936807919e-02,nan,nan,1.015580752072691553e+02
-9.402371782372812015e-02,-8.171094261391562141e-02,-7.996668267541930109e-02,4.032269132938059215e+02,1.621539542325959644e+02,1.193527046943025596e+02
-9.690278043849326339e-02,-8.855003836516942006e-02,-6.022653045012486828e-02,nan,1.164341109804525104e+03,1.033185728172783797e+02
-9.359145120352083125e-02,-9.399135257784799191e-02,-7.568148544588768067e-02,3.784527206449809000e+01,4.087342289772434967e+00,1.058889569188255848e+02
-9.800790594124270116e-02,-8.339487518531435439e-02,-8.045272621951218839e-02,nan,1.015983395362073054e+02,1.216273299353566557e+02
-9.800790594124270116e-02,-9.088867744297618456e-02,-7.993081800299341177e-02,nan,2.810768063356326607e+01,1.037969986290839159e+02
-9.214413409639625463e-02,-6.585020269809900573e-02,-9.264726951967874879e-02,3.012740058098104612e+01,5.191358281000707819e+01,1.958334698551853990e+02
-8.815994597888163198e-02,-7.106359499182844652e-02,-8.892520795271791068e-02,5.039726682196113927e+01,9.682764371210762988e+01,1.682671071099330220e+02
-8.798749734488475749e-02,-6.093869828625149421e-02,-9.712536130315999050e-02,7.937181051966993550e+01,1.209894457382959416e+02,nan
-9.575947766541297035e-02,-6.059020606607946197e-02,-8.856482780950379607e-02,nan,9.403424839759765064e+01,1.499589271707764908e+02
-9.584336324848852229e-02,-4.986256350781292229e-02,-9.591755828982506671e-02,nan,9.606286253286349108e+01,nan
-9.160284091390148709e-02,-5.567870165423195739e-02,-9.304291959298503778e-02,1.167359719114224426e+01,1.931782700711637517e+02,3.088301252864272328e+02
-8.784524778183175342e-02,-8.953807642184433147e-02,-6.768174968271280234e-02,5.491112654192667009e+01,2.455017058921396256e+03,1.085687466482600456e+02
-8.938263990478846621e-02,-8.603614617674087972e-02,-7.698003760195284984e-02,3.250511567566454829e+01,2.651828896253855419e+03,1.186165760589979641e+02
