# x,y,z,B_x_err,B_y_err,B_z_err
-9.689732486512500631e-02,-8.866130684225000114e-02,-9.676398197712500482e-02,1.608641683413489343e+00,5.007044881851381746e+00,2.742130987292226596e+00
-9.490523080634999387e-02,-9.126800298909999720e-02,-9.240295119362500198e-02,3.648477546387096648e+00,2.747728878618985959e+01,2.841886997006009885e+00
-9.800790594122499311e-02,-9.450402101197499793e-02,-8.740295119362499754e-02,5.810194637271383078e-01,6.566294660005040384e+01,1.080506464250712497e+02
-9.166968369942500583e-02,-9.437067812397499644e-02,-9.252996527130000204e-02,2.713594674299479870e+00,4.476553613942937382e+00,4.724484774099507733e-01
-8.866177775819999995e-02,-9.676398197712500482e-02,-9.689099605480000488e-02,3.428177531313861270e-01,2.513611343782992336e+00,7.624161174131595331e+00
-9.477235883430000507e-02,-9.760669614684999718e-02,-8.752996527129999760e-02,4.740093502294836725e+00,5.204189243245136254e+01,6.091956064591681930e+00
-9.035590409657499877e-02,-9.760669614684999718e-02,-8.004461469132499729e-02,3.898765099285125491e+00,1.157336674228962164e-01,5.354540573822502125e+01
-9.690278043847500022e-02,-9.189473534292499912e-02,-5.023207690132500125e-02,1.616598516449188727e+00,4.936324221669657675e+00,2.619363814924327372e+01
-6.828042919777499442e-02,-9.773523719740000171e-02,-9.373197420765000398e-02,2.524822611279947182e+01,4.967442305850842565e+00,5.428067356962181123e+00
-6.821600314179999958e-02,-9.325714541389999723e-02,-9.726317222607500090e-02,2.997789162390548867e+01,3.850136913561476248e+00,2.383310504687540465e+00
-8.035088857385000449e-02,-9.521339229372499657e-02,-8.963773646940000062e-02,2.039352267386639994e+00,5.917378829482323965e+00,2.850402289658012567e+00
-8.467758964067499672e-02,-9.197737427084999584e-02,-9.316893448782499754e-02,1.101599550237769565e+00,5.589734134619976924e-01,7.237166388979064280e+00
-8.041933448992499844e-02,-8.749928248735000524e-02,-9.627793843302499821e-02,2.215246624844862122e+00,5.823331384005597799e-01,7.353104767848475110e-01
-7.423181502427500522e-02,-8.847053770762500213e-02,-9.354111065909999356e-02,1.899377513393027517e+00,1.344099610674733603e+00,8.840189864258827246e-01
-7.429624108025000007e-02,-9.294862949112500661e-02,-9.000991264067499664e-02,7.985097136771387438e-01,3.422506427532409745e+00,2.947082697819659813e+00
-8.180399092090000213e-02,-8.002714929667499588e-02,-9.627793843302499821e-02,6.580113900825683704e-01,8.239501466098867466e-01,4.714928308503385512e-01
-9.092104268882500451e-02,-8.648139528282500210e-02,-8.868088962664999464e-02,7.628763008413008251e+00,2.133078834540596290e+03,2.669692219887686679e+00
-9.291313674760000307e-02,-8.387469913597500604e-02,-9.304192041014999748e-02,3.172626621643447747e-02,8.388983320616489880e-01,1.419295747472067548e+00
-8.768549558190000259e-02,-8.958407041770000134e-02,-8.880790370432499470e-02,1.730265824090736926e+00,1.608926571149826046e+01,4.763567674642139593e+00
-8.929779317857500232e-02,-7.950524108017499592e-02,-9.627793843302499821e-02,8.422001217568313436e-01,5.430289153495997390e-01,1.053355164221694062e+00
-9.601581188247500231e-02,-7.961691490117500658e-02,-8.856382862665000688e-02,1.188500225905041452e+00,2.281614757011031447e+00,1.488085400258147395e+00
-9.240046831345000156e-02,-7.524745684537499646e-02,-9.179984664952499374e-02,1.089427255966934904e+00,1.193339090119169388e+00,7.605206389684820989e-01
-9.638465643097500479e-02,-7.003406455164999656e-02,-9.552190821650000108e-02,1.157352276427986215e+00,4.748584273284438773e+00,1.162735184193698812e+00
-9.402371782370000375e-02,-8.222361104802500265e-02,-8.420279784315000404e-02,2.495672210066405050e+00,6.831644045856839043e+00,7.628812582928859998e-01
-9.380556087694999490e-02,-8.021545210974999340e-02,-5.527511790442499878e-02,4.985580055352241413e-02,1.330495341799666775e+00,9.462070442310772656e-01
-9.380556087694999490e-02,-8.821675402860000570e-02,-5.533604721160000073e-02,3.159866840974060453e-01,1.016777163124543248e+00,1.781098048733087857e+00
-9.248632570074999393e-02,-9.270667511664999749e-02,-6.514648653962500091e-02,1.880911289836745270e-01,2.530116292514707155e+01,9.968107083337084617e+00
-9.690278043847500022e-02,-8.054873644627499885e-02,-6.016560114290000344e-02,4.634235521238725397e-01,5.601619021487557859e+00,1.189542098778512580e+00
-9.558354526227499925e-02,-9.638465643097500479e-02,-7.004251622934999644e-02,8.438326333657539258e-02,5.354484979192569938e+00,1.209032934392090120e+01
-9.402371782370000375e-02,-8.171094261387500113e-02,-7.996668267534999541e-02,8.396055391586544348e-01,4.972266486104915728e+00,2.842253099274746564e+00
-9.690278043847500022e-02,-8.855003836512499726e-02,-6.022653045007499845e-02,4.025799345247755845e-01,3.241015088257455545e+00,1.739025488211228376e+00
-9.359145120350000069e-02,-9.399135257782499642e-02,-7.568148544585000248e-02,5.704828990724488236e+00,1.050473104688572690e+00,4.049368473228132537e+00
-9.800790594122499311e-02,-8.339487518527499699e-02,-8.045272621945000202e-02,7.819493056192048375e-01,4.004090466157275046e+02,3.108460036325226827e+00
-9.800790594122499311e-02,-9.088867744294999718e-02,-7.993081800295000205e-02,1.941458663972331022e+00,1.014519429094986869e+01,1.841205614697799930e+01
-9.214413409637499386e-02,-6.585020269805000326e-02,-9.264726951964999402e-02,4.019905439450694451e-01,3.279597291193963593e-01,2.415300156038201695e+00
-8.815994597885000450e-02,-7.106359499177500316e-02,-8.892520795267500056e-02,7.154336852278442294e-01,1.717151558698200731e+01,2.509623886372511770e+00
-8.798749734484999363e-02,-6.093869828620000068e-02,-9.712536130314999849e-02,1.435307346967725772e+00,8.116355883968106255e+00,1.154701769251720522e+00
-9.575947766539999462e-02,-6.059020606602499859e-02,-8.856482780947499966e-02,3.353925679396835974e-02,2.701395106962754156e+01,1.447996766928581147e+00
-9.584336324847500532e-02,-4.986256350777500124e-02,-9.591755828982499732e-02,1.045200694012261150e-01,9.792922894983927762e+00,4.556834862501450423e-01
-9.160284091387499439e-02,-5.567870165417500294e-02,-9.304291959297500414e-02,3.484097172048057356e-01,2.320693976786131207e-01,2.724071983874334912e-01
-8.784524778180000104e-02,-8.953807642180000581e-02,-6.768174968267499925e-02,2.263367390787561106e+00,6.527036050601735973e+00,2.376108378970219981e+00
-8.938263990474999698e-02,-8.603614617669999576e-02,-7.698003760190000322e-02,5.449306890982628104e-01,2.685960715664418519e+00,3.681270549788014268e+00
-8.895037328454999392e-02,-9.082275388297500474e-02,-7.321674858889999638e-02,3.508535282124336963e+00,5.930547937897043376e+00,2.379923811152081736e+00
-8.070981065490000217e-02,-9.204479359887500489e-02,-8.217299961245000395e-02,3.521328311420977575e-01,2.836758502001979210e-01,1.926046126849947360e+00
-8.614709279782499507e-02,-8.965148974572499652e-02,-8.134316684737499803e-02,6.448667880291059085e-01,8.646999950057914219e+00,8.144944970645507709e+00
-8.027754403469999911e-02,-9.683140130514999999e-02,-7.840971059944999710e-02,1.770230806774658161e+00,1.987710986080534648e+00,2.211798972156094667e+00
-8.571482617762500589e-02,-9.443809745200000549e-02,-7.757987783437500506e-02,7.230460529365136946e-01,5.631593381487679295e+00,5.409831550614232043e+01
-7.536496856079999418e-02,-8.751526799370000498e-02,-7.980834800982500310e-02,2.801882731021193909e-02,1.561194665888186117e+00,3.794182020255462140e-01
-7.071585187922499460e-02,-8.841910388595000669e-02,-8.453625709284999512e-02,3.743934742484906764e+00,3.605815247347188723e+00,2.465589875552720134e+00
-9.756714944989999805e-02,-6.412225095962499621e-02,-6.992429517392499683e-02,6.154950896773472291e-01,2.438498086325699699e-01,2.556674126616266918e+00
-9.756714944989999805e-02,-7.198293816994999483e-02,-7.032857676220000132e-02,3.438593151373929291e-01,1.118393357205750860e+01,8.870242274591789711e-01
-9.332662711530000099e-02,-6.168359198152500306e-02,-8.090455885302499928e-02,6.595305544080224402e-01,1.305172228646150456e+00,1.880025695731615043e+00
-9.446992988837500660e-02,-7.579875911330000160e-02,-6.491063885597500582e-02,1.970450896654659528e-02,3.905908247914229747e+00,4.503320551399086491e-01
-9.756714944989999805e-02,-5.939142305577500142e-02,-7.590278277092500636e-02,2.212329879307310954e-01,2.972896773879087906e+00,1.663570285356489542e+00
-9.005594448714999978e-02,-7.235863670857499430e-02,-6.060914371099999920e-02,1.179882746514413494e-01,6.597614558737427082e+00,1.358149575820425704e-02
-8.939157547572500195e-02,-7.731662288752499945e-02,-5.590679623829999945e-02,3.134853964720632491e-01,6.400021833292895757e+00,4.926607434469882030e+00
-9.332443883740000612e-02,-6.156357234277499979e-02,-6.267506075957500478e-02,5.312090737732222401e-01,9.511191012127499107e+02,1.771924598820343419e+02
-8.891045343617499930e-02,-6.598413714837500499e-02,-5.877784720287500264e-02,1.312565434962054967e-01,2.087286652200545589e+01,2.384493750716487614e+00
-9.124544918892500689e-02,-4.566476824949999846e-02,-9.304291959297500414e-02,3.885059898776662690e-01,3.104244770779482909e-01,4.636675267973970893e-01
-8.700492685432499596e-02,-5.148090639590000017e-02,-9.016828089612499708e-02,2.937975276394378388e-01,1.532024040738044490e-01,1.438964899353547822e-01
-9.770104297022499940e-02,-3.989126087965000345e-02,-8.633395996932499705e-02,5.733739658082198654e-02,5.827276502872898334e+00,9.645289642961997201e-01
-9.310312891067500096e-02,-4.328742956947499720e-02,-8.759424377637499426e-02,3.849660144998793276e-01,7.219407549595801221e+00,1.110559948913636408e+00
-9.375393592314999747e-02,-3.514684570537499747e-02,-8.699680266824999508e-02,1.437974070047421671e-01,1.421374951996345892e+00,4.820721325244119448e-01
-8.915602186359999903e-02,-3.854301439519999817e-02,-8.825708647530000617e-02,4.742814331524916605e-02,1.034892941511351161e+01,2.052039173261901647e-02
-5.451814822887499773e-02,-8.869953982120000469e-02,1.179173196311199961e-02,5.279964952387660171e-01,1.392027356727182408e+01,2.290064618594292167e-01
-5.410580788067499702e-02,-8.752921774470000249e-02,1.132053615351500016e-02,4.224518810167253724e-01,4.124366002551751897e+00,1.264822759312485001e-01
-5.504004736104999712e-02,-9.007981807430000265e-02,1.118469312897999932e-02,8.004352774417032856e-01,2.552571257572213703e+00,5.857047460230198066e-01
-5.498232002627499726e-02,-8.645438545842500100e-02,1.130231834630800007e-02,3.365127734286135763e-01,6.251031418447408061e-01,3.937324957303109385e-01
-5.451502072009999783e-02,-8.511755663919999548e-02,1.178553799619500020e-02,2.053021722892603429e-01,1.805481735676463018e+01,2.245361103500263800e-01
-5.416249271252499692e-02,-9.115771920002499473e-02,1.120084628055000031e-02,7.088501482859896896e-01,7.652301241925862030e+00,5.290567327934325714e-01
-5.493895007985000190e-02,-9.928212349630000100e-02,1.191456517979999977e-02,5.242532129198450264e+01,7.539999999999971578e+02,2.452845271882994282e+01
